Título,URL_Foto,Precio_de_Venta,Área_construida,Habitaciones,Baños
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-1-habitaciones-1-banos/22306255,$227.000.000,45 m²,1,1
"Apartamento en Venta, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-del-este-3-habitaciones-3-banos-2-garajes/22306164,$460.000.000,130 m²,3,3
"Apartamento en Venta, El Golf, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-4-banos-1-garajes/22306391,$650.000.000,330 m²,3,4
"Apartamento en Venta y Arriendo, Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-riomar-3-habitaciones-3-banos/2230-6464,$380.000.000,105 m²,3,3
"Apartamento en Venta, Altos del Parque, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ub.-altos-de-parque-3-habitaciones-4-banos-2-garajes/9851-11424,$980.000.000,198 m²,3,4
"Casa en Venta, LA LUZ, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-la-luz-4-habitaciones-5-banos-4-garajes/7515-515308,$1.600.000.000,383 m²,4,5
"Casa en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-santos-5-habitaciones-5-banos-4-garajes/9851-11415,$2.100.000.000,720 m²,5,5
"Apartamento en Venta y Arriendo, Villa Carolina, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-carolina-3-habitaciones-2-banos-1-garajes/130-1876,$180.000.000,63 m²,3,2
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-3-banos-1-garajes/671-73694,$480.000.000,118 m²,3,3
"Apartamento en Venta, Altos del Limón, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-limon-3-habitaciones-3-banos-2-garajes/671-73367,$630.000.000,200 m²,3,3
"Apartamento en Venta, VILLA CAMPESTRE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-urbanizacion-los-corales-3-habitaciones-4-banos-2-garajes/671-75872,$520.000.000,140 m²,3,4
"Apartamento en Venta, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-4-banos-2-garajes/671-76437,$550.000.000,134 m²,3,4
"Casa en Venta, SAN JOSE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-san-jose-4-habitaciones-2-banos-1-garajes/671-76605,$300.000.000,0 m²,4,2
"Apartamento en Venta, VILLA COUNTRY, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-3-habitaciones-4-banos-2-garajes/671-79007,$1.200.000.000,231 m²,3,4
"Apartamento en Venta, PARAISO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-batallon-infanteria-2-habitaciones-2-banos-1-garajes/671-75910,$220.000.000,68 m²,2,2
"Apartamento en Venta, EL TABOR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-tabor-2-habitaciones-2-banos/671-73784,$293.832.000,72 m²,2,2
"Casa en Venta, El Golf, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-golf-3-habitaciones-4-banos-2-garajes/671-76625,$1.100.000.000,400 m²,3,4
"Apartamento en Venta, SAN MARINO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-las-tres-avemarias-3-habitaciones-2-banos-1-garajes/671-76201,$158.000.000,62 m²,3,2
"Casa en Venta, POBLADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-poblado-3-habitaciones-3-banos-2-garajes/671-76478,$1.000.000.000,250 m²,3,3
